8:1,"Déggal! Xel mu Rafet di soxna saa ngi woote,
moom soxna si Am Dégg di xaacu."
8:2,"Ma nga taxaw ca selebe yoon ya,
fu gëna kawe ca yoon wa."
8:3-4,"Ma nga ca buntu dëkk ba, taxaw;
fa nit ñay jaare lay xaacoo naan:
«Yeen mbooloo yi laay woo,
doom aadama yi laay joor."
8:5,"Téxét bi, deel foog,
dof bi, déggal ndéey lu xelu."
8:6,"Déglul, ma wax la lu am solo,
dégtal la njub."
8:7,"Dëgg laay wax,
di bañ wax ju bon."
8:8,"Lu ma wax njub la.
Amul lu dëng mbaa lu jekkadi."
8:9,"Lépp a dëggu ci ku amug dégg,
te jub ci ku for xam-xam."
8:10,"Na la samab yar gënal xaalis,
xam-xam dàqal la ngën-gi-wurus."
8:11,"Ndax man, Xel mu Rafet, maa gën gànjar,
loo bëgg maa ko raw."
8:12,"«Man, Xel mu Rafet, foog di sama kër;
xam-xam ak pexe, ma for."
8:13,"Ragal Aji Sax ji mooy bañ lu bon.
Réy, xeebaate, yoonu mbon,
ak wax ju jekkadi, ma boole bañ."
8:14,"Maa moomi digle, di maye gis-gis;
maa amug dégg, di boroom doole."
8:15,"Samay pexe la buur di jiitee,
kilifa di ci àttee dëgg."
8:16,"Ci samay pexe la njiit di saytoo,
ñook kàngam yeek ñiy àtte dëgg ñépp."
8:17,"Maa sopp ku ma sopp,
ku ma seet tigi, gis ma."
8:18,"Alal ak teraangaa ngi fi man,
am-am bu sax it ak yoolu njekk."
8:19,"Li may mayee gën wurus, muy wurus wa gën,
sama njariñ wees xaalis ba gën."
8:20,"Yoonu njub laay jaare,
di dox ci li jaadu."
8:21,"Ku ma sopp, ma nàddil la,
feesal sab denc.»"
8:22,"Soxna si, Xel mu Rafet nee na:
«Aji Sax ji jagoo na ma ca njàlbéen,
ma jiitu ca jëfam ya woon."
8:23,"Bu yàgg lañu ma dëj,
ca ndoorte la, bala suuf a sosu."
8:24,"Ba may dikk, géej amul,
ndox ballul bay fees, di wal-wali."
8:25-26,"Dikk naa bala tund yu mag yee sampu,
lu jiitu tund yu ndaw yi,
laata Yàllaa sàkk suuf aki àllam
ak feppu pënd ci àddina."
8:27-29,"Ba muy taxawal asamaan, maa nga fa,
ak ba muy rëdd fa asamaan taseek géej,
ak ba muy teg niir ya fa kaw,
ak ba muy dooleel ndoxi xóotey géej,
ak ba muy sàkkal géej kemoom,
ba du jàll fa mu wax."
8:30,"Ba muy rëdd fa muy samp àddina,
man, Xel mu Rafet, maa doon ku xareñ ci wetam,
di ko bànneexal bés bu ne,
tey bànneexu fi kanamam."
8:31,"May bége wërngalu àddinaam,
di bànneexoo doomi aadama."
8:32,"«Kon nag, samay doom, dégluleen ma.
Mbégte ñeel na ki may topp."
8:33,"Nangeen déglu ku leen di yar, daldi muus.
Buleen ko sàggane!"
